id,cxpb,mutpb,alpha,score
1,0.2,0.05,0.1,0.03696466820872784
2,0.2,0.05,0.2,0.0017787842443928613
3,0.2,0.05,0.3,0.013015368073014424
4,0.2,0.05,0.4,2.971870787465217
5,0.2,0.1,0.1,0.005323631352989222
6,0.2,0.1,0.2,0.001884161360451019
7,0.2,0.1,0.3,0.08401971985868943
8,0.2,0.1,0.4,0.005374252659212722
9,0.4,0.05,0.1,0.412350807077285
10,0.4,0.05,0.2,0.007712075357264257
11,0.4,0.05,0.3,0.0009465461214192089
12,0.4,0.05,0.4,1.6182283881903098e-05
13,0.4,0.1,0.1,1.5631198786414167
14,0.4,0.1,0.2,0.0008935283848598521
15,0.4,0.1,0.3,5.037984531383091e-06
16,0.4,0.1,0.4,0.00043516420398337716
